sku;additional_images;name;description;ean;manufacturer;model;qty;price;special_price;m2_type;material;color;_category
LCW01-55-021-1;/l/c/lcw01-55-021-1.jpg,/l/c/lcw01-55-021-1-a.jpg,/l/c/lcw01-55-021-1-b.jpg,/l/c/lcw01-55-021-1-c.jpg,/l/c/lcw01-55-021-1-d.jpg,/l/c/lcw01-55-021-1-e.jpg,/l/c/lcw01-55-021-1-f.jpg;Apple Watch Series 4 40mm flexible silicone case - Blue / Pink;Contrast Color Flexible Silicone Protective Bumper Cover for Apple Watch Series 4 40mm - Blue / Pink;5714011810781;Apple;Apple Watch Series 4 40mm;1;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-2;/l/c/lcw01-55-021-2.jpg,/l/c/lcw01-55-021-2-a.jpg,/l/c/lcw01-55-021-2-b.jpg,/l/c/lcw01-55-021-2-c.jpg,/l/c/lcw01-55-021-2-d.jpg,/l/c/lcw01-55-021-2-e.jpg,/l/c/lcw01-55-021-2-f.jpg;Apple Watch Series 4 40mm flexible silicone case - Blue / White;Contrast Color Soft Silicone Protective Frame Shell for Apple Watch Series 4 40mm - Blue / White;5714011810798;Apple;Apple Watch Series 4 40mm;1;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-3;/l/c/lcw01-55-021-3.jpg,/l/c/lcw01-55-021-3-a.jpg,/l/c/lcw01-55-021-3-b.jpg,/l/c/lcw01-55-021-3-c.jpg,/l/c/lcw01-55-021-3-d.jpg,/l/c/lcw01-55-021-3-e.jpg,/l/c/lcw01-55-021-3-f.jpg;Apple Watch Series 4 40mm soft silicone case - Red Outer + Black Inside;Contrast Color Soft Silicone Protective Frame Case for Apple Watch Series 4 40mm - Red Outer + Black Inside;5714011810804;Apple;Apple Watch Series 4 40mm;0;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-4;/l/c/lcw01-55-021-4.jpg,/l/c/lcw01-55-021-4-a.jpg,/l/c/lcw01-55-021-4-b.jpg,/l/c/lcw01-55-021-4-c.jpg,/l/c/lcw01-55-021-4-d.jpg,/l/c/lcw01-55-021-4-e.jpg,/l/c/lcw01-55-021-4-f.jpg,/l/c/lcw01-55-021-4-g.jpg;Apple Watch Series 4 40mm flexible silicone case - Black / Yellow;Contrast Color Soft Silicone Protective Frame Cover for Apple Watch Series 4 40mm - Black / Yellow;5714011810811;Apple;Apple Watch Series 4 40mm;0;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-5;/l/c/lcw01-55-021-5.jpg,/l/c/lcw01-55-021-5-a.jpg,/l/c/lcw01-55-021-5-b.jpg,/l/c/lcw01-55-021-5-c.jpg,/l/c/lcw01-55-021-5-d.jpg,/l/c/lcw01-55-021-5-e.jpg,/l/c/lcw01-55-021-5-f.jpg,/l/c/lcw01-55-021-5-g.jpg;Apple Watch Series 4 40mm flexible silicone case - Black Outer / Red Inside;Contrast Color Soft Silicone Protective Bumper Casing for Apple Watch Series 4 40mm - Black Outer / Red Inside;5714011810828;Apple;Apple Watch Series 4 40mm;1;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-6;/l/c/lcw01-55-021-6.jpg,/l/c/lcw01-55-021-6-a.jpg,/l/c/lcw01-55-021-6-b.jpg,/l/c/lcw01-55-021-6-c.jpg,/l/c/lcw01-55-021-6-d.jpg,/l/c/lcw01-55-021-6-e.jpg,/l/c/lcw01-55-021-6-f.jpg,/l/c/lcw01-55-021-6-g.jpg;Apple Watch Series 4 40mm flexible silicone case - Black / Grey;Contrast Color Soft Silicone Protective Bumper Shell for Apple Watch Series 4 40mm - Black / Grey;5714011810835;Apple;Apple Watch Series 4 40mm;0;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-7;/l/c/lcw01-55-021-7.jpg,/l/c/lcw01-55-021-7-a.jpg,/l/c/lcw01-55-021-7-b.jpg,/l/c/lcw01-55-021-7-c.jpg,/l/c/lcw01-55-021-7-d.jpg,/l/c/lcw01-55-021-7-e.jpg,/l/c/lcw01-55-021-7-f.jpg,/l/c/lcw01-55-021-7-g.jpg;Apple Watch Series 4 40mm flexible silicone case - Black / White;Two Color Soft Silicone Protective Bumper Case for Apple Watch Series 4 40mm - Black / White;5714011810842;Apple;Apple Watch Series 4 40mm;1;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-55-021-8;/l/c/lcw01-55-021-8.jpg,/l/c/lcw01-55-021-8-a.jpg,/l/c/lcw01-55-021-8-b.jpg,/l/c/lcw01-55-021-8-c.jpg,/l/c/lcw01-55-021-8-d.jpg,/l/c/lcw01-55-021-8-e.jpg,/l/c/lcw01-55-021-8-f.jpg,/l/c/lcw01-55-021-8-g.jpg,/l/c/lcw01-55-021-8-h.jpg,/l/c/lcw01-55-021-8-i.jpg;Apple Watch Series 4 40mm flexible silicone case - All Black;Soft Silicone Protective Bumper Cover for Apple Watch Series 4 40mm - All Black;5714011810859;Apple;Apple Watch Series 4 40mm;0;17.45;14.15;Bumper;Silicone / TPU;Black;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 40mm
LCW01-56-024-1;/l/c/lcw01-56-024-1.jpg,/l/c/lcw01-56-024-1-a.jpg,/l/c/lcw01-56-024-1-b.jpg,/l/c/lcw01-56-024-1-c.jpg,/l/c/lcw01-56-024-1-d.jpg,/l/c/lcw01-56-024-1-e.jpg,/l/c/lcw01-56-024-1-f.jpg;Apple Watch Series 4 44mm flexible silicone case - Blue / Pink;Two-tone Flexible Silicone Protective Bumper Cover for Apple Watch Series 4 44mm - Blue / Pink;5714011810866;Apple;Apple Watch Series 4 44mm;0;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-2;/l/c/lcw01-56-024-2.jpg,/l/c/lcw01-56-024-2-a.jpg,/l/c/lcw01-56-024-2-b.jpg,/l/c/lcw01-56-024-2-c.jpg,/l/c/lcw01-56-024-2-d.jpg,/l/c/lcw01-56-024-2-e.jpg,/l/c/lcw01-56-024-2-f.jpg;Apple Watch Series 4 44mm flexible silicone case - Blue / White;Two-color Soft Silicone Protective Frame Shell for Apple Watch Series 4 44mm - Blue / White;5714011810873;Apple;Apple Watch Series 4 44mm;2;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-3;/l/c/lcw01-56-024-3.jpg,/l/c/lcw01-56-024-3-a.jpg,/l/c/lcw01-56-024-3-b.jpg,/l/c/lcw01-56-024-3-c.jpg,/l/c/lcw01-56-024-3-d.jpg,/l/c/lcw01-56-024-3-e.jpg,/l/c/lcw01-56-024-3-f.jpg;Apple Watch Series 4 44mm flexible silicone case - Red Outer / Black Inside;Two-color Soft Silicone Protective Frame Case for Apple Watch Series 4 44mm - Red Outer / Black Inside;5714011810880;Apple;Apple Watch Series 4 44mm;3;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-4;/l/c/lcw01-56-024-4.jpg,/l/c/lcw01-56-024-4-a.jpg,/l/c/lcw01-56-024-4-b.jpg,/l/c/lcw01-56-024-4-c.jpg,/l/c/lcw01-56-024-4-d.jpg,/l/c/lcw01-56-024-4-e.jpg,/l/c/lcw01-56-024-4-f.jpg,/l/c/lcw01-56-024-4-g.jpg;Apple Watch Series 4 44mm flexible silicone case - Black / Yellow;Two-color Soft Silicone Protective Frame Cover for Apple Watch Series 4 44mm - Black / Yellow;5714011810897;Apple;Apple Watch Series 4 44mm;1;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-5;/l/c/lcw01-56-024-5.jpg,/l/c/lcw01-56-024-5-a.jpg,/l/c/lcw01-56-024-5-b.jpg,/l/c/lcw01-56-024-5-c.jpg,/l/c/lcw01-56-024-5-d.jpg,/l/c/lcw01-56-024-5-e.jpg,/l/c/lcw01-56-024-5-f.jpg,/l/c/lcw01-56-024-5-g.jpg;Apple Watch Series 4 44mm flexible silicone case - Black Outer / Red Inside;Two-color Soft Silicone Protective Bumper Casing for Apple Watch Series 4 44mm - Black Outer / Red Inside;5714011810903;Apple;Apple Watch Series 4 44mm;2;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-6;/l/c/lcw01-56-024-6.jpg,/l/c/lcw01-56-024-6-a.jpg,/l/c/lcw01-56-024-6-b.jpg,/l/c/lcw01-56-024-6-c.jpg,/l/c/lcw01-56-024-6-d.jpg,/l/c/lcw01-56-024-6-e.jpg,/l/c/lcw01-56-024-6-f.jpg,/l/c/lcw01-56-024-6-g.jpg;Apple Watch Series 4 44mm flexible silicone case - Black / Grey;Two-color Soft Silicone Protective Bumper Shell for Apple Watch Series 4 44mm - Black / Grey;5714011810910;Apple;Apple Watch Series 4 44mm;0;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-7;/l/c/lcw01-56-024-7.jpg,/l/c/lcw01-56-024-7-a.jpg,/l/c/lcw01-56-024-7-b.jpg,/l/c/lcw01-56-024-7-c.jpg,/l/c/lcw01-56-024-7-d.jpg,/l/c/lcw01-56-024-7-e.jpg,/l/c/lcw01-56-024-7-f.jpg,/l/c/lcw01-56-024-7-g.jpg;Apple Watch Series 4 44mm flexible silicone case - Black / White;Two-color Soft Silicone Protective Bumper Case for Apple Watch Series 4 44mm - Black / White;5714011810927;Apple;Apple Watch Series 4 44mm;8;17.45;14.15;Bumper;Silicone / TPU;Multicolor;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-56-024-8;/l/c/lcw01-56-024-8.jpg,/l/c/lcw01-56-024-8-a.jpg,/l/c/lcw01-56-024-8-b.jpg,/l/c/lcw01-56-024-8-c.jpg,/l/c/lcw01-56-024-8-d.jpg,/l/c/lcw01-56-024-8-e.jpg,/l/c/lcw01-56-024-8-f.jpg,/l/c/lcw01-56-024-8-g.jpg,/l/c/lcw01-56-024-8-h.jpg,/l/c/lcw01-56-024-8-i.jpg;Apple Watch Series 4 44mm flexible silicone case - All Black;Soft Silicone Protective Bumper Cover for Apple Watch Series 4 44mm - All Black;5714011810934;Apple;Apple Watch Series 4 44mm;1;17.45;14.15;Bumper;Silicone / TPU;Black;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 4 44mm
LCW01-35-040-1;/l/c/lcw01-35-040-1_81.jpg,/l/c/lcw01-35-040-1-a_84.jpg,/l/c/lcw01-35-040-1-b_85.jpg,/l/c/lcw01-35-040-1-c_86.jpg,/l/c/lcw01-35-040-1-d_87.jpg,/l/c/lcw01-35-040-1-e_88.jpg,/l/c/lcw01-35-040-1-f_89.jpg,/l/c/lcw01-35-040-1-g_90.jpg;Apple Watch Series 3/2/1 38mm electroplating lustre frame - Transparent;"Electroplating TPU Watch Shell for Apple Watch Series 3/2/1 38mm - Transparent

  Soft TPU material, non-yellowing and durable

  Electroplating workmanship, shiny metallic lustre

  Precise cut-outs ensure unhindered operation

  Protects the screen and side from scratch-proof and collision

  Easy to install and remove

Compatible with:

  Apple Watch Series 3 38mm
  Apple Watch Series 2 38mm
  Apple Watch Series 1 38mm

Package included:

  1 x Electroplating TPU Watch Shell
  Other items not included";5714864050174;Apple;Apple Watch 38mm;0;12.85;10.25;Bumper;Silicone / TPU;Transparent;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 1-3 38mm
LCW01-35-040-2;/l/c/lcw01-35-040-2_82.jpg,/l/c/lcw01-35-040-2-a_91.jpg,/l/c/lcw01-35-040-2-b_92.jpg,/l/c/lcw01-35-040-2-c_93.jpg,/l/c/lcw01-35-040-2-d_94.jpg,/l/c/lcw01-35-040-2-e_95.jpg,/l/c/lcw01-35-040-2-f_96.jpg,/l/c/lcw01-35-040-2-g_97.jpg;Apple Watch Series 3/2/1 38mm electroplating lustre frame - Pink;"Electroplating TPU Watch Shell for Apple Watch Series 3/2/1 38mm - Pink

  Soft TPU material, non-yellowing and durable

  Electroplating workmanship, shiny metallic lustre

  Precise cut-outs ensure unhindered operation

  Protects the screen and side from scratch-proof and collision

  Easy to install and remove

Compatible with:

  Apple Watch Series 3 38mm
  Apple Watch Series 2 38mm
  Apple Watch Series 1 38mm

Package included:

  1 x Electroplating TPU Watch Shell
  Other items not included";5714864050181;Apple;Apple Watch 38mm;0;12.85;10.25;Bumper;Silicone / TPU;Pink;Lux-Case/Smartwatch/Apple Watch/Apple Watch Series 1-3 38mm
